season,team,bp_kpct,bp_bbpct,bp_ip
2025,MIA,0.2338,0.1031,301.1
2025,MIL,0.2543,0.0883,355.2
2025,MIN,0.1867,0.0771,99.4
2025,NYM,0.2736,0.0866,227.9
2025,NYY,0.252,0.0852,393.0
2025,PHI,0.2449,0.0898,284.8
2025,PIT,0.2212,0.0955,298.2
2025,SD,0.2595,0.0853,409.1
2025,SEA,0.2431,0.0825,442.9
2025,SF,0.2188,0.078,292.5
2025,STL,0.2159,0.0955,342.5
2025,TB,0.2661,0.0783,458.5
2025,TEX,0.2233,0.0771,324.4
2025,TOR,0.2623,0.1063,344.3
2025,WSH,0.2056,0.1004,390.4
