date,home,away,actual_total,opening_total
2021-08-28,ATL,SF,5,8.75
2021-08-28,LAA,SD,12,9.5
2021-08-28,LAD,COL,7,8.38
2021-08-29,PHI,ARI,11,8.5
2021-08-29,BAL,TB,20,10.25
2021-08-29,PIT,STL,7,8.5
2021-08-29,MIA,CIN,3,7.88
2021-08-29,DET,TOR,3,9.38
2021-08-29,NYM,WAS,13,8.38
2021-08-29,ATL,SF,9,8.88
2021-08-29,MIN,MIL,8,9.88
2021-08-29,CHW,CHC,14,8.38
2021-08-29,TEX,HOU,15,8.75
2021-08-29,SEA,KC,7,8.75
2021-08-29,LAD,COL,5,8.88
2021-08-29,OAK,NYY,4,8.88
2021-08-30,DET,MIN,5,9.12
2021-08-30,CIN,STL,4,9.0
2021-08-30,WAS,PHI,11,8.0
2021-08-30,TOR,BAL,10,9.38
2021-08-30,TB,BOS,7,8.5
2021-08-30,TEX,COL,7,8.25
2021-08-30,LAA,NYY,15,8.75
2021-08-30,ARI,SD,12,9.25
2021-08-30,SF,MIL,4,7.5
2021-08-30,SEA,HOU,7,8.38
2021-08-30,LAD,ATL,8,8.88
2021-08-31,NYM,MIA,11,8.17
2021-08-31,WAS,PHI,18,8.88
2021-08-31,TOR,BAL,6,9.5
2021-08-31,TB,BOS,13,8.75
2021-08-31,DET,OAK,12,8.88
2021-08-31,TEX,COL,7,8.5
2021-08-31,MIN,CHC,4,9.25
2021-08-31,CHW,PIT,6,8.75
2021-08-31,LAA,NYY,10,8.5
2021-08-31,ARI,SD,3,8.38
2021-08-31,SF,MIL,8,7.38
2021-08-31,SEA,HOU,4,8.12
2021-08-31,LAD,ATL,5,7.88
2021-09-01,CIN,STL,9,7.75
2021-09-01,TEX,COL,14,8.88
2021-09-01,ARI,SD,11,8.75
2021-09-01,SEA,HOU,1,8.62
2021-09-01,LAA,NYY,5,8.25
2021-09-01,TOR,BAL,9,10.0
2021-09-01,TB,BOS,5,7.75
2021-09-01,DET,OAK,14,9.38
2021-09-01,CHW,PIT,9,8.75
2021-09-01,MIN,CHC,3,8.62
2021-09-01,SF,MIL,7,7.88
2021-09-01,LAD,ATL,7,7.75
2021-09-02,WAS,PHI,13,8.38
2021-09-02,DET,OAK,14,9.12
2021-09-02,SF,MIL,6,8.0
2021-09-02,TB,BOS,4,7.88
2021-09-02,NYM,MIA,7,7.25
2021-09-02,CHC,PIT,11,8.62
2021-09-02,COL,ATL,11,12.12
2021-09-03,CHC,PIT,11,9.0
2021-09-03,WAS,NYM,8,9.12
2021-09-03,NYY,BAL,7,9.0
2021-09-03,TOR,OAK,21,8.88
2021-09-03,MIA,PHI,13,7.25
2021-09-03,TB,MIN,8,9.0
2021-09-03,CIN,DET,20,9.5
2021-09-03,KC,CHW,9,9.12
2021-09-03,MIL,STL,19,7.5
2021-09-03,COL,ATL,7,11.62
2021-09-03,LAA,TEX,5,8.0
2021-09-03,ARI,SEA,11,8.75
2021-09-03,SF,LAD,5,8.62
2021-09-03,SD,HOU,9,9.0
2021-09-04,NYY,BAL,7,10.0
2021-09-04,WAS,NYM,20,6.75
2021-09-04,CHC,PIT,13,8.62
2021-09-04,TOR,OAK,18,9.0
2021-09-04,TB,MIN,15,8.88
2021-09-04,MIA,PHI,5,7.25
2021-09-04,CIN,DET,11,8.88
2021-09-04,KC,CHW,17,9.0
2021-09-04,MIL,STL,4,8.38
2021-09-04,COL,ATL,13,10.5
2021-09-04,ARI,SEA,13,8.62
2021-09-04,SD,HOU,12,7.75
2021-09-04,SF,LAD,7,8.5
2021-09-04,LAA,TEX,5,8.0
2021-09-05,NYY,BAL,15,9.5
2021-09-05,WAS,NYM,19,8.62
2021-09-05,TOR,OAK,8,9.12
2021-09-05,CIN,DET,5,8.62
2021-09-05,MIA,PHI,7,7.62
2021-09-05,TB,MIN,11,9.0
2021-09-05,MIL,STL,11,7.88
2021-09-05,KC,CHW,6,9.0
2021-09-05,CHC,PIT,19,9.12
2021-09-05,COL,ATL,11,11.0
2021-09-05,LAA,TEX,10,8.88
2021-09-05,SD,HOU,7,8.75
2021-09-05,ARI,SEA,14,8.62
2021-09-05,SF,LAD,10,7.88
2021-09-06,WAS,NYM,7,8.88
2021-09-06,NYY,TOR,8,9.5
2021-09-06,BAL,KC,5,10.38
2021-09-06,BOS,TB,21,8.88
2021-09-06,PIT,DET,9,8.25
2021-09-06,MIL,PHI,12,7.38
2021-09-06,CHC,CIN,7,8.5
2021-09-06,COL,SF,15,11.0
2021-09-06,STL,LAD,6,7.75
2021-09-06,HOU,SEA,13,8.38
2021-09-06,LAA,TEX,4,8.75
2021-09-07,PIT,DET,5,8.88
2021-09-07,MIA,NYM,13,7.75
2021-09-07,BAL,KC,10,10.12
2021-09-07,NYY,TOR,6,8.75
2021-09-07,BOS,TB,19,9.38
2021-09-07,ATL,WAS,13,8.88
2021-09-07,MIL,PHI,10,8.0
2021-09-07,CHC,CIN,7,10.12
2021-09-07,STL,LAD,9,9.0
2021-09-07,HOU,SEA,9,8.5
2021-09-07,COL,SF,15,11.5
2021-09-07,OAK,CHW,9,9.25
2021-09-07,ARI,TEX,4,8.38
2021-09-07,SD,LAA,4,7.5
2021-09-08,HOU,SEA,13,8.88
2021-09-08,COL,SF,11,11.38
2021-09-08,ARI,TEX,13,8.75
2021-09-08,PIT,DET,6,8.88
2021-09-08,MIA,NYM,3,7.38
2021-09-08,NYY,TOR,9,9.88
2021-09-08,BAL,KC,17,9.88
2021-09-08,BOS,TB,3,9.38
2021-09-08,ATL,WAS,6,9.62
2021-09-08,CHC,CIN,5,9.0
2021-09-08,MIL,PHI,7,8.0
2021-09-08,STL,LAD,9,8.38
2021-09-08,SD,LAA,13,7.75
2021-09-08,OAK,CHW,6,8.88
2021-09-09,STL,LAD,3,8.75
2021-09-09,OAK,CHW,4,8.75
2021-09-09,MIA,NYM,5,7.88
2021-09-09,PHI,COL,7,8.38
2021-09-09,BAL,KC,6,9.5
2021-09-09,NYY,TOR,10,9.5
2021-09-09,ATL,WAS,13,9.62
2021-09-10,CHC,SF,7,9.38
2021-09-10,PIT,WAS,7,8.5
2021-09-10,PHI,COL,13,8.62
2021-09-10,BAL,TOR,9,9.75
2021-09-10,DET,TB,14,9.38
2021-09-10,NYM,NYY,13,8.0
2021-09-10,ATL,MIA,8,8.25
2021-09-10,CHW,BOS,7,8.38
2021-09-10,HOU,LAA,15,7.75
2021-09-10,MIN,KC,10,9.62
2021-09-10,STL,CIN,6,8.38
2021-09-10,OAK,TEX,15,8.5
2021-09-10,SEA,ARI,9,8.25
2021-09-10,LAD,SD,3,7.88
2021-09-11,CHC,SF,19,10.25
2021-09-11,OAK,TEX,14,8.5
2021-09-11,BAL,TOR,21,8.0
2021-09-11,PHI,COL,7,7.62
2021-09-11,DET,TB,9,9.0
2021-09-11,PIT,WAS,17,8.75
2021-09-11,MIN,KC,11,9.25
2021-09-11,HOU,LAA,6,8.75
2021-09-11,CHW,BOS,17,9.12
2021-09-11,STL,CIN,10,8.12
2021-09-11,ATL,MIA,10,8.0
2021-09-11,NYM,NYY,15,8.0
2021-09-11,SEA,ARI,10,8.38
2021-09-11,LAD,SD,9,8.0
2021-09-12,DET,TB,15,9.0
2021-09-12,PIT,WAS,8,8.75
2021-09-12,PHI,COL,9,8.5
2021-09-12,BAL,TOR,29,10.12
2021-09-12,ATL,MIA,8,8.25
2021-09-12,HOU,LAA,4,8.88
2021-09-12,CHW,BOS,3,9.12
2021-09-12,MIN,KC,8,9.0
2021-09-12,STL,CIN,2,8.5
2021-09-12,CHC,SF,11,10.38
2021-09-12,OAK,TEX,7,8.38
2021-09-12,SEA,ARI,9,8.25
2021-09-12,LAD,SD,8,7.5
2021-09-12,NYM,NYY,13,8.33
2021-09-13,NYY,MIN,11,10.12
2021-09-13,WAS,MIA,3,7.38
2021-09-13,TOR,TB,9,9.25
2021-09-13,NYM,STL,7,8.12
2021-09-13,TEX,HOU,16,9.0
2021-09-13,SF,SD,10,8.0
2021-09-13,SEA,BOS,9,8.0
2021-09-13,LAD,ARI,6,8.0
2021-09-14,PIT,CIN,11,8.5
2021-09-14,DET,MIL,1,8.88
2021-09-14,WAS,MIA,10,8.38
2021-09-14,BAL,NYY,9,9.25
2021-09-14,PHI,CHC,9,8.88
2021-09-14,TOR,TB,2,8.75
2021-09-14,NYM,STL,13,8.12
2021-09-14,ATL,COL,9,9.0
2021-09-14,TEX,HOU,9,8.75
2021-09-14,CHW,LAA,12,8.5
2021-09-14,KC,OAK,17,9.0
2021-09-14,SF,SD,7,8.5
2021-09-14,SEA,BOS,12,8.0
2021-09-14,LAD,ARI,12,9.12
2021-09-15,WAS,MIA,14,8.5
2021-09-15,DET,MIL,5,8.75
2021-09-15,TOR,TB,9,9.12
2021-09-15,SEA,BOS,13,8.5
2021-09-15,PIT,CIN,9,9.0
2021-09-15,PHI,CHC,11,8.75
2021-09-15,BAL,NYY,7,9.12
2021-09-15,NYM,STL,15,7.88
2021-09-15,ATL,COL,5,8.88
2021-09-15,TEX,HOU,9,9.0
2021-09-15,CHW,LAA,5,8.75
2021-09-15,KC,OAK,22,8.38
2021-09-15,SF,SD,15,8.5
2021-09-15,LAD,ARI,8,8.0
2021-09-16,PIT,CIN,1,8.5
2021-09-16,CHW,LAA,12,8.12
2021-09-16,KC,OAK,9,9.62
2021-09-16,SF,SD,11,8.38
2021-09-16,BAL,NYY,5,10.0
2021-09-16,PHI,CHC,25,8.62
2021-09-16,TB,DET,7,8.62
2021-09-16,TEX,HOU,13,8.88
2021-09-17,WAS,COL,17,8.5
2021-09-17,TOR,MIN,10,9.12
2021-09-17,MIA,PIT,3,7.88
2021-09-17,TB,DET,11,8.25
2021-09-17,CIN,LAD,4,8.25
2021-09-17,BOS,BAL,8,9.75
2021-09-17,NYM,PHI,7,7.5
2021-09-17,TEX,CHW,8,8.62
2021-09-17,KC,SEA,8,9.12
2021-09-17,MIL,CHC,13,8.88
2021-09-17,HOU,ARI,7,9.0
2021-09-17,STL,SD,10,8.62
2021-09-17,LAA,OAK,9,8.5
2021-09-17,SF,ATL,11,7.88
2021-09-18,BOS,BAL,12,10.5
2021-09-18,CIN,LAD,6,8.25
2021-09-18,TOR,MIN,8,9.5
2021-09-18,WAS,COL,6,8.88
2021-09-18,TB,DET,7,8.38
2021-09-18,MIA,PIT,9,7.88
2021-09-18,TEX,CHW,3,8.75
2021-09-18,HOU,ARI,10,8.88
2021-09-18,KC,SEA,9,9.0
2021-09-18,STL,SD,5,7.75
2021-09-18,NYM,PHI,8,7.5
2021-09-18,MIL,CHC,10,7.62
2021-09-18,SF,ATL,2,7.88
2021-09-18,LAA,OAK,4,8.88
2021-09-19,WAS,COL,3,9.0
2021-09-19,TOR,MIN,8,9.25
2021-09-19,BOS,BAL,14,10.25
2021-09-19,TB,DET,2,8.12
2021-09-19,MIA,PIT,11,6.88
2021-09-19,CIN,LAD,13,8.62
2021-09-19,HOU,ARI,13,8.5
2021-09-19,MIL,CHC,10,8.75
2021-09-19,KC,SEA,8,9.12
2021-09-19,STL,SD,15,9.25
2021-09-19,TEX,CHW,9,9.0
2021-09-19,SF,ATL,3,8.12
2021-09-19,LAA,OAK,5,8.5
2021-09-19,NYM,PHI,5,8.0
2021-09-20,MIA,WAS,15,8.25
2021-09-20,DET,CHW,7,8.88
2021-09-20,CIN,PIT,14,9.25
2021-09-20,NYY,TEX,7,9.38
2021-09-20,PHI,BAL,2,8.0
2021-09-20,TB,TOR,10,8.38
2021-09-20,MIL,STL,7,8.0
2021-09-20,LAA,HOU,10,8.88
2021-09-20,ARI,ATL,15,9.12
2021-09-20,OAK,SEA,6,8.12
2021-09-21,DET,CHW,8,9.38
2021-09-21,CIN,PIT,8,8.75
2021-09-21,MIA,WAS,8,7.88
2021-09-21,NYY,TEX,8,8.5
2021-09-21,PHI,BAL,5,10.12
2021-09-21,TB,TOR,6,8.0
2021-09-21,BOS,NYM,9,9.38
2021-09-21,CHC,MIN,14,8.0
2021-09-21,MIL,STL,3,7.5
2021-09-21,COL,LAD,9,10.88
2021-09-21,LAA,HOU,15,8.88
2021-09-21,ARI,ATL,7,9.38
2021-09-21,OAK,SEA,7,8.5
2021-09-21,SD,SF,11,7.5
2021-09-22,TB,TOR,8,9.0
2021-09-22,MIA,WAS,12,7.75
2021-09-22,NYY,TEX,10,8.88
2021-09-22,PHI,BAL,7,8.0
2021-09-22,BOS,NYM,17,9.0
2021-09-22,CHC,MIN,9,7.12
2021-09-22,MIL,STL,12,9.12
2021-09-22,COL,LAD,15,10.25
2021-09-22,LAA,HOU,14,9.0
2021-09-22,OAK,SEA,5,8.5
2021-09-22,ARI,ATL,11,9.0
2021-09-22,SD,SF,14,8.88
2021-09-23,MIL,STL,13,8.0
2021-09-23,COL,LAD,12,10.5
2021-09-23,OAK,SEA,11,8.38
2021-09-23,ARI,ATL,10,8.62
2021-09-23,SD,SF,13,7.88
2021-09-23,CIN,WAS,5,8.62
2021-09-23,PHI,PIT,18,8.38
2021-09-23,BAL,TEX,3,9.0
2021-09-23,MIN,TOR,9,9.25
2021-09-23,LAA,HOU,5,8.62
2021-09-25,CHC,STL,13,10.5
2021-09-25,PHI,PIT,3,8.5
2021-09-25,OAK,HOU,3,8.12
2021-09-25,BOS,NYY,8,10.38
2021-09-25,TB,MIA,10,7.25
2021-09-25,DET,KC,6,9.0
2021-09-25,BAL,TEX,5,8.88
2021-09-25,MIL,NYM,3,7.5
2021-09-25,MIN,TOR,7,9.0
2021-09-25,CIN,WAS,13,9.5
2021-09-25,SD,ATL,18,8.88
2021-09-25,COL,SF,9,11.75
2021-09-25,ARI,LAD,9,8.5
2021-09-25,LAA,SEA,15,8.5
2021-09-26,DET,KC,3,9.0
2021-09-26,PHI,PIT,6,9.12
2021-09-26,BAL,TEX,11,8.38
2021-09-26,CIN,WAS,11,9.5
2021-09-26,TB,MIA,5,8.0
2021-09-26,MIN,TOR,7,9.12
2021-09-26,MIL,NYM,12,8.0
2021-09-26,CHC,STL,6,10.5
2021-09-26,COL,SF,8,11.38
2021-09-26,OAK,HOU,7,9.0
2021-09-26,LAA,SEA,6,8.25
2021-09-26,SD,ATL,7,8.5
2021-09-26,ARI,LAD,3,9.12
2021-09-26,BOS,NYY,9,10.0
2021-09-27,DET,CHW,15,9.5
2021-09-27,CIN,PIT,14,9.25
2021-09-27,COL,WAS,9,11.12
2021-09-27,SEA,OAK,17,8.25
2021-09-28,NYM,MIA,7,7.33
2021-09-28,PIT,CHC,14,8.88
2021-09-28,BAL,BOS,6,9.38
2021-09-28,TOR,NYY,9,9.38
2021-09-28,ATL,PHI,3,7.62
2021-09-28,MIN,DET,5,9.0
2021-09-28,STL,MIL,8,6.88
2021-09-28,TEX,LAA,7,9.0
2021-09-28,CHW,CIN,8,9.12
2021-09-28,HOU,TB,7,9.12
2021-09-28,COL,WAS,4,11.25
2021-09-28,SF,ARI,10,7.75
2021-09-28,SEA,OAK,6,7.88
2021-09-28,LAD,SD,3,7.88
2021-09-29,COL,WAS,15,11.5
2021-09-29,PIT,CHC,5,8.38
2021-09-29,BAL,BOS,6,9.5
2021-09-29,TOR,NYY,11,8.5
2021-09-29,NYM,MIA,5,7.38
2021-09-29,ATL,PHI,9,7.88
2021-09-29,MIN,DET,7,8.88
2021-09-29,STL,MIL,4,7.88
2021-09-29,TEX,LAA,9,8.62
2021-09-29,HOU,TB,7,8.75
2021-09-29,CHW,CIN,7,7.88
2021-09-29,SF,ARI,1,8.38
2021-09-29,SEA,OAK,6,7.75
2021-09-29,LAD,SD,20,7.88
2021-09-30,STL,MIL,7,8.62
2021-09-30,TEX,LAA,13,8.5
2021-09-30,PIT,CHC,9,8.38
2021-09-30,BAL,BOS,8,10.12
2021-09-30,TOR,NYY,8,8.62
2021-09-30,NYM,MIA,15,7.38
2021-09-30,HOU,TB,5,8.88
2021-09-30,ATL,PHI,8,8.5
2021-09-30,MIN,DET,17,8.5
2021-09-30,SF,ARI,9,8.62
2021-09-30,LAD,SD,11,9.0
2021-10-01,PIT,CIN,11,8.38
2021-10-01,WAS,BOS,6,9.5
2021-10-01,NYY,TB,7,9.0
2021-10-01,TOR,BAL,10,10.0
2021-10-01,MIA,PHI,5,7.12
2021-10-01,ATL,NYM,7,8.5
2021-10-01,KC,MIN,17,9.25
2021-10-01,CHW,DET,9,8.75
2021-10-01,HOU,OAK,14,8.5
2021-10-01,STL,CHC,7,8.0
2021-10-01,ARI,COL,16,8.75
2021-10-01,SF,SD,3,8.5
2021-10-01,SEA,LAA,3,7.62
2021-10-01,LAD,MIL,14,8.0
2021-10-02,NYY,TB,14,9.0
2021-10-02,TOR,BAL,11,8.5
2021-10-02,SF,SD,5,7.75
2021-10-02,WAS,BOS,8,9.5
2021-10-02,MIA,PHI,4,7.75
2021-10-02,PIT,CIN,14,8.38
2021-10-02,CHW,DET,9,8.75
2021-10-02,HOU,OAK,14,9.25
2021-10-02,KC,MIN,4,9.38
2021-10-02,STL,CHC,11,8.75
2021-10-02,ATL,NYM,11,8.75
2021-10-02,ARI,COL,13,8.38
2021-10-02,LAD,MIL,11,7.38
2021-10-02,SEA,LAA,10,8.0
2021-10-03,WAS,BOS,12,9.88
2021-10-03,NYY,TB,1,9.5
2021-10-03,SF,SD,15,9.0
2021-10-03,PIT,CIN,9,9.5
2021-10-03,TOR,BAL,16,10.75
2021-10-03,SEA,LAA,10,7.25
2021-10-03,ARI,COL,9,9.0
2021-10-03,CHW,DET,7,8.5
2021-10-03,KC,MIN,10,10.38
2021-10-03,LAD,MIL,13,8.75
2021-10-03,HOU,OAK,13,9.12
2021-10-03,MIA,PHI,9,7.75
2021-10-03,STL,CHC,5,8.88
2021-10-03,ATL,NYM,5,8.62
2022-04-07,CHC,MIL,9,9.58
2022-04-07,KC,CLE,4,8.17
2022-04-07,STL,PIT,9,8.0
2022-04-07,WAS,NYM,6,8.92
2022-04-07,ATL,CIN,9,8.08
2022-04-07,LAA,HOU,4,8.42
2022-04-07,ARI,SD,6,8.58
2022-04-08,NYY,BOS,11,7.83
2022-04-08,DET,CHW,9,8.08
2022-04-08,PHI,OAK,14,8.08
2022-04-08,TB,BAL,3,7.58
2022-04-08,MIN,SEA,3,8.0
2022-04-08,COL,LAD,8,11.42
2022-04-08,SF,MIA,11,7.5
2022-04-08,WAS,NYM,10,8.75
2022-04-08,TOR,TEX,18,9.08
2022-04-08,ATL,CIN,13,8.92
2022-04-08,LAA,HOU,19,9.42
2022-04-08,ARI,SD,3,9.17
2022-04-09,TB,BAL,8,8.5
2022-04-09,DET,CHW,7,8.58
2022-04-09,MIN,SEA,7,8.42
2022-04-09,STL,PIT,8,8.42
2022-04-09,CHC,MIL,9,7.67
2022-04-09,TOR,TEX,7,9.25
2022-04-09,PHI,OAK,6,9.33
2022-04-09,SF,MIA,3,7.5
2022-04-09,NYY,BOS,6,9.33
2022-04-09,KC,CLE,1,8.33
2022-04-09,WAS,NYM,5,9.67
2022-04-09,ATL,CIN,3,9.92
2022-04-09,COL,LAD,5,11.42
2022-04-09,ARI,SD,7,9.25
2022-04-09,LAA,HOU,2,8.25
2022-04-10,PHI,OAK,5,9.33
2022-04-10,TB,BAL,8,8.5
2022-04-10,DET,CHW,11,8.5
2022-04-10,WAS,NYM,6,9.92
2022-04-10,ATL,CIN,9,9.75
2022-04-10,TOR,TEX,18,9.92
2022-04-10,KC,CLE,20,8.42
2022-04-10,MIN,SEA,14,8.58
2022-04-10,STL,PIT,13,7.67
2022-04-10,CHC,MIL,9,7.42
2022-04-10,COL,LAD,13,12.17
2022-04-10,SF,MIA,5,8.33
2022-04-10,LAA,HOU,5,9.67
2022-04-10,ARI,SD,15,9.5
2022-04-10,NYY,BOS,7,9.42
2022-04-11,KC,CLE,17,8.42
2022-04-11,BAL,MIL,2,9.0
2022-04-11,TEX,COL,10,9.67
2022-04-11,DET,BOS,4,9.33
2022-04-11,TB,OAK,15,8.17
2022-04-11,PHI,NYM,9,9.17
2022-04-11,NYY,TOR,3,9.08
2022-04-11,ATL,WAS,13,9.5
2022-04-11,MIN,SEA,4,9.17
2022-04-11,LAA,MIA,8,9.33
2022-04-11,SF,SD,6,8.42
2022-04-12,DET,BOS,8,9.33
2022-04-12,CIN,CLE,15,8.5
2022-04-12,CHW,SEA,5,9.42
2022-04-12,PIT,CHC,3,8.83
2022-04-12,TB,OAK,17,8.67
2022-04-12,PHI,NYM,2,8.75
2022-04-12,NYY,TOR,4,10.17
2022-04-12,BAL,MIL,9,9.0
2022-04-12,LAA,MIA,7,9.25
2022-04-12,ATL,WAS,20,9.5
2022-04-12,MIN,LAD,9,9.33
2022-04-12,STL,KC,11,8.5
2022-04-12,TEX,COL,5,10.08
2022-04-12,ARI,HOU,3,9.25
2022-04-12,SF,SD,15,7.75
2022-04-13,ATL,WAS,4,9.08
2022-04-13,PIT,CHC,8,8.42
2022-04-13,CIN,CLE,10,9.58
2022-04-13,PHI,NYM,15,8.67
2022-04-13,DET,BOS,16,8.08
2022-04-13,MIN,LAD,7,8.75
2022-04-13,ARI,HOU,5,9.08
2022-04-13,SF,SD,3,7.25
2022-04-13,TB,OAK,6,7.5
2022-04-13,NYY,TOR,10,8.42
2022-04-13,BAL,MIL,6,7.58
2022-04-13,CHW,SEA,10,9.17
2022-04-14,TB,OAK,9,8.08
2022-04-14,CHW,SEA,6,9.33
2022-04-14,MIL,STL,6,8.08
2022-04-14,PIT,WAS,13,9.42
2022-04-14,MIA,PHI,7,7.67
2022-04-14,NYY,TOR,3,8.58
2022-04-14,TEX,LAA,15,8.92
2022-04-14,KC,DET,6,8.58
2022-04-14,SD,ATL,13,7.67
2022-04-14,COL,CHC,7,11.5
2022-04-14,LAD,CIN,12,8.67
2022-04-15,NYM,ARI,13,8.5
2022-04-15,BOS,MIN,12,10.5
2022-04-15,PIT,WAS,9,9.5
2022-04-15,MIA,PHI,8,7.67
2022-04-15,BAL,NYY,3,9.5
2022-04-15,TOR,OAK,5,9.75
2022-04-15,CLE,SF,5,8.25
2022-04-15,CHW,TB,5,8.58
2022-04-15,TEX,LAA,15,9.92
2022-04-15,KC,DET,3,8.5
2022-04-15,MIL,STL,11,8.5
2022-04-15,COL,CHC,11,10.25
2022-04-15,SD,ATL,7,8.25
2022-04-15,SEA,HOU,12,8.5
2022-04-15,LAD,CIN,4,9.58
2022-04-16,NYM,ARI,5,7.75
2022-04-16,CHW,TB,5,8.75
2022-04-16,TOR,OAK,12,9.08
2022-04-16,SD,ATL,7,7.83
2022-04-16,KC,DET,4,8.5
2022-04-16,BOS,MIN,4,9.5
2022-04-16,CLE,SF,6,8.25
2022-04-16,MIA,PHI,13,7.75
2022-04-16,PIT,WAS,10,9.08
2022-04-16,TEX,LAA,9,9.25
2022-04-16,BAL,NYY,7,9.08
2022-04-16,MIL,STL,3,8.58
2022-04-16,COL,CHC,15,11.83
2022-04-16,SEA,HOU,4,7.58
2022-04-16,LAD,CIN,7,9.25
2022-04-17,BAL,NYY,5,8.5
2022-04-17,PIT,WAS,8,8.33
2022-04-17,BOS,MIN,9,9.67
2022-04-17,TOR,OAK,7,8.75
2022-04-17,NYM,ARI,5,8.33
2022-04-17,CLE,SF,9,7.75
2022-04-17,MIA,PHI,14,7.67
2022-04-17,CHW,TB,12,8.58
2022-04-17,MIL,STL,11,8.5
2022-04-17,TEX,LAA,11,9.42
2022-04-17,COL,CHC,10,10.92
2022-04-17,LAD,CIN,10,8.67
2022-04-17,SEA,HOU,9,8.08
2022-04-17,SD,ATL,3,7.75
2022-04-18,BOS,MIN,11,9.08
2022-04-18,CHC,TB,6,7.92
2022-04-18,MIL,PIT,7,8.5
2022-04-18,HOU,LAA,11,9.08
2022-04-18,COL,PHI,5,11.08
2022-04-18,OAK,BAL,6,8.0
2022-04-18,SD,CIN,5,7.83
2022-04-18,LAD,ATL,11,8.25
2022-04-19,WAS,ARI,7,8.7
2022-04-19,NYM,SF,9,6.5
2022-04-19,DET,NYY,6,8.0
2022-04-19,MIA,STL,6,8.0
2022-04-19,BOS,TOR,3,9.33
2022-04-19,CHC,TB,11,7.58
2022-04-19,MIL,PIT,7,7.42
2022-04-19,HOU,LAA,9,8.5
2022-04-19,KC,MIN,7,8.25
2022-04-19,COL,PHI,11,11.17
2022-04-19,OAK,BAL,3,7.92
2022-04-19,SD,CIN,8,7.67
2022-04-19,SEA,TEX,8,7.5
2022-04-19,LAD,ATL,4,8.08
2022-04-20,MIL,PIT,6,8.0
2022-04-20,CLE,CHW,12,8.2
2022-04-20,COL,PHI,15,11.42
2022-04-20,LAD,ATL,6,8.75
2022-04-20,SD,CIN,6,8.58
2022-04-20,OAK,BAL,1,8.0
2022-04-20,CHC,TB,10,9.25
2022-04-20,HOU,LAA,6,8.5
2022-04-20,DET,NYY,8,7.42
2022-04-20,MIA,STL,2,7.58
2022-04-20,WAS,ARI,13,8.25
2022-04-20,NYM,SF,7,6.83
2022-04-20,BOS,TOR,7,9.5
2022-04-20,KC,MIN,2,8.33
2022-04-20,SEA,TEX,6,8.08
2022-04-21,NYM,SF,8,7.5
2022-04-21,CLE,CHW,9,8.33
2022-04-21,DET,NYY,3,8.25
2022-04-21,BOS,TOR,5,9.08
2022-04-21,KC,MIN,1,8.08
2022-04-21,OAK,BAL,10,7.58
2022-04-21,WAS,ARI,7,8.83
2022-04-21,MIA,STL,5,7.5
2022-04-21,CHC,PIT,7,8.5
2022-04-21,SEA,TEX,14,8.08
2022-04-22,CIN,STL,6,9.08
2022-04-22,WAS,SF,8,9.42
2022-04-22,NYY,CLE,5,8.92
2022-04-22,PHI,MIL,6,7.92
2022-04-22,TB,BOS,7,8.5
2022-04-22,ATL,MIA,3,8.67
2022-04-22,CHC,PIT,6,7.5
2022-04-22,HOU,TOR,7,8.67
2022-04-22,MIN,CHW,3,8.0
2022-04-22,LAA,BAL,8,8.58
2022-04-22,ARI,NYM,11,8.5
2022-04-22,OAK,TEX,9,8.08
2022-04-22,SD,LAD,7,8.25
2022-04-22,SEA,KC,5,7.5
2022-04-23,WAS,SF,7,8.5
2022-04-23,NYY,CLE,9,8.42
2022-04-23,DET,COL,13,8.62
2022-04-23,CHC,PIT,21,9.17
2022-04-23,PHI,MIL,8,8.17
2022-04-23,MIN,CHW,11,8.75
2022-04-23,OAK,TEX,2,7.5
2022-04-23,CIN,STL,5,8.58
2022-04-23,HOU,TOR,5,8.42
2022-04-23,TB,BOS,5,8.0
2022-04-23,ATL,MIA,16,8.25
2022-04-23,ARI,NYM,7,9.08
2022-04-23,SD,LAD,5,8.0
2022-04-23,LAA,BAL,9,8.58
2022-04-23,SEA,KC,20,7.58
2022-04-24,DET,COL,8,8.42
2022-04-24,TB,BOS,7,7.5
2022-04-24,WAS,SF,15,8.0
2022-04-24,ATL,MIA,9,8.5
2022-04-24,NYY,CLE,12,7.0
2022-04-24,CIN,STL,5,8.5
2022-04-24,MIN,CHW,10,8.0
2022-04-24,HOU,TOR,15,8.67
2022-04-24,CHC,PIT,7,9.08
2022-04-24,LAA,BAL,13,9.08
2022-04-24,OAK,TEX,2,7.83
2022-04-24,ARI,NYM,8,9.0
2022-04-24,SEA,KC,9,7.67
2022-04-24,SD,LAD,12,7.25
2022-04-24,PHI,MIL,1,8.08
2022-04-25,MIL,SF,6,6.92
2022-04-25,PHI,COL,10,8.5
2022-04-25,TOR,BOS,8,8.58
2022-04-25,STL,NYM,7,6.92
2022-04-25,TEX,HOU,8,8.58
2022-04-25,LAA,CLE,3,8.08
2022-04-25,ARI,LAD,4,8.25
2022-04-26,PIT,MIL,20,7.5
2022-04-26,CIN,SD,15,8.0
2022-04-26,TB,SEA,12,7.0
2022-04-26,PHI,COL,13,8.0
2022-04-26,WAS,MIA,7,7.67
2022-04-26,NYY,BAL,20,7.92
2022-04-26,TOR,BOS,11,8.42
